FIPS,State,County,Population,% 65 and Over,% female,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Hispanic,% Hispanic,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Non-Hispanic white,% Non-Hispanic white,Median Household Income,# Unemployed,% Unemployed,# Some College,% Some College,# Primary Care Physicians,Primary Care Physicians Rate,% With Access to Exercise Opportunities,% Uninsured,Food Environment Index,% Adults Reporting Currently Smoking,% Adults with Obesity,% Fair or Poor Health
01000,Alabama,,4921532,17.8,51.7,1303754,26.5,34897,0.7,75551,1.5,226557,4.6,5393,0.1,3205777,65.1,53958,131065,5.9,761762,62,3238,66,61,12,5.3,20,39,19
01001,Alabama,Autauga,56145,16.2,51.5,11408,20.3,266,0.5,657,1.2,1741,3.1,61,0.1,41079,73.2,67565,1262,4.9,8733,61,25,45,56,11,6.6,18,37,17
01003,Alabama,Baldwin,229287,21.6,51.6,19441,8.5,1788,0.8,2529,1.1,10625,4.6,152,0.1,191015,83.3,71135,5425,5.6,33289,66,150,65,66,11,7.5,17,33,15
01005,Alabama,Barbour,24589,20.3,47.2,11756,47.8,172,0.7,112,0.5,1149,4.7,50,0.2,11130,45.3,38866,605,7.0,2566,38,8,33,55,14,5.8,26,46,28
01007,Alabama,Bibb,22136,17.1,46.8,4644,21.0,102,0.5,57,0.3,649,2.9,27,0.1,16420,74.2,50907,573,6.6,2392,38,14,63,18,13,7.4,23,38,22
01009,Alabama,Blount,57879,19.0,50.6,884,1.5,364,0.6,220,0.4,5524,9.5,70,0.1,50238,86.8,55203,1008,4.1,7843,56,12,21,41,13,7.8,22,33,18
01011,Alabama,Bullock,9976,17.7,45.3,6852,68.7,88,0.9,27,0.3,885,8.9,76,0.8,2104,21.1,33124,265,5.5,640,28,3,30,3,12,4.3,26,48,30
01013,Alabama,Butler,19504,21.4,53.4,8699,44.6,77,0.4,266,1.4,323,1.7,8,0.0,9943,51.0,42268,801,8.8,1777,37,4,21,45,13,6.8,22,45,23
01015,Alabama,Calhoun,113469,18.5,51.9,24049,21.2,598,0.5,1002,0.9,4668,4.1,127,0.1,81012,71.4,50259,3260,7.1,16656,58,68,60,65,13,6.0,21,37,20
01017,Alabama,Chambers,32865,20.6,52.3,13131,40.0,115,0.3,377,1.1,915,2.8,19,0.1,18005,54.8,39318,1078,6.8,4310,54,14,43,50,13,6.9,22,41,22
01019,Alabama,Cherokee,26294,24.3,50.4,1081,4.1,186,0.7,124,0.5,482,1.8,8,0.0,24046,91.5,50388,530,4.6,2890,53,10,38,38,13,7.4,23,41,19
01021,Alabama,Chilton,44397,17.5,51.0,4405,9.9,255,0.6,213,0.5,3524,7.9,77,0.2,35584,80.1,52693,974,5.0,4813,42,10,23,33,15,7.1,22,38,20
01023,Alabama,Choctaw,12418,24.0,52.7,5122,41.2,24,0.2,30,0.2,147,1.2,0,0.0,6999,56.4,41649,308,6.7,1712,64,5,40,25,13,6.1,22,41,23
01025,Alabama,Clarke,23291,20.9,52.7,10463,44.9,133,0.6,102,0.4,315,1.4,5,0.0,12068,51.8,44178,700,9.0,2314,43,11,47,53,14,5.1,23,41,24
01027,Alabama,Clay,13112,21.4,51.3,1776,13.5,73,0.6,39,0.3,411,3.1,0,0.0,10565,80.6,44763,245,4.0,1096,37,4,31,64,14,7.5,23,39,21
01029,Alabama,Cleburne,14967,20.3,50.9,422,2.8,78,0.5,29,0.2,416,2.8,11,0.1,13836,92.4,50134,262,4.6,1728,50,4,27,42,13,7.3,22,38,19
01031,Alabama,Coffee,53230,17.6,50.7,9058,17.0,747,1.4,892,1.7,4423,8.3,220,0.4,36768,69.1,54203,944,4.4,8583,63,25,47,49,14,6.9,20,44,19
01033,Alabama,Colbert,55411,20.6,52.1,8872,16.0,381,0.7,383,0.7,1763,3.2,37,0.1,42977,77.6,54185,1550,6.6,7267,56,35,63,65,10,6.7,21,37,19
01035,Alabama,Conecuh,11851,24.0,52.2,5384,45.4,61,0.5,32,0.3,293,2.5,4,0.0,5935,50.1,34664,331,7.3,1232,46,5,42,37,11,6.2,24,43,24
01037,Alabama,Coosa,10650,24.7,49.9,3201,30.1,73,0.7,21,0.2,270,2.5,18,0.2,6982,65.6,46509,242,5.5,1043,44,,,5,12,7.2,22,42,20
01039,Alabama,Covington,36930,21.9,51.7,4620,12.5,277,0.8,188,0.5,707,1.9,4,0.0,30607,82.9,43544,738,4.9,4356,52,20,54,58,12,6.9,21,45,20
01041,Alabama,Crenshaw,13681,19.9,51.4,3246,23.7,93,0.7,163,1.2,330,2.4,6,0.0,9586,70.1,45927,357,5.7,1611,50,2,15,24,13,6.4,22,40,21
01043,Alabama,Cullman,84515,19.1,50.6,1069,1.3,556,0.7,560,0.7,3835,4.5,72,0.1,77490,91.7,51844,1650,4.3,11204,55,48,57,48,14,7.5,21,38,18
01045,Alabama,Dale,48959,17.8,51.0,9995,20.4,430,0.9,706,1.4,3396,6.9,88,0.2,33271,68.0,48493,1009,4.9,7657,60,13,27,25,14,6.5,21,39,20
01047,Alabama,Dallas,36098,19.5,53.8,25415,70.4,112,0.3,193,0.5,431,1.2,16,0.0,9646,26.7,37679,1570,10.7,4742,55,29,80,56,11,5.8,23,48,27
01049,Alabama,DeKalb,71658,17.9,50.3,1030,1.4,1472,2.1,371,0.5,10937,15.3,452,0.6,57019,79.6,47156,1388,4.5,8831,51,32,45,43,19,,23,42,23
01051,Alabama,Elmore,82158,16.3,51.7,17222,21.0,421,0.5,649,0.8,2485,3.0,101,0.1,60083,73.1,62524,1777,4.9,12093,55,19,23,52,11,7.8,19,37,17
01053,Alabama,Escambia,36281,18.7,49.8,11324,31.2,1375,3.8,111,0.3,940,2.6,27,0.1,21804,60.1,41212,864,6.0,3662,38,12,33,39,14,6.6,25,44,25
01055,Alabama,Etowah,102371,19.6,51.6,16021,15.6,736,0.7,881,0.9,4427,4.3,338,0.3,78953,77.1,47872,3126,7.7,14027,56,78,76,61,14,6.2,21,41,19
01057,Alabama,Fayette,16241,22.0,51.1,1890,11.6,83,0.5,85,0.5,333,2.1,0,0.0,13641,84.0,45937,326,5.0,1806,49,16,99,32,14,7.2,24,39,21
01059,Alabama,Franklin,31507,17.3,50.0,1205,3.8,550,1.7,121,0.4,5797,18.4,79,0.3,23812,75.6,40448,638,4.4,3343,43,14,44,57,16,7.2,23,38,22
01061,Alabama,Geneva,26411,21.2,51.3,2405,9.1,304,1.2,105,0.4,1144,4.3,22,0.1,21966,83.2,39882,444,4.1,2809,48,7,27,35,15,6.7,24,38,22
01063,Alabama,Greene,7990,24.4,53.5,6363,79.6,38,0.5,19,0.2,141,1.8,0,0.0,1378,17.2,33609,328,10.9,872,50,4,50,4,12,4.0,27,49,32
01065,Alabama,Hale,14670,20.2,52.8,8452,57.6,45,0.3,47,0.3,223,1.5,5,0.0,5803,39.6,41836,572,9.4,1650,50,3,20,28,11,6.2,24,47,26
01067,Alabama,Henry,17223,23.6,52.0,4326,25.1,80,0.5,84,0.5,464,2.7,3,0.0,12028,69.8,51126,327,4.8,1918,51,5,29,18,12,7.2,21,42,20
01069,Alabama,Houston,106580,18.7,52.2,29243,27.4,601,0.6,1202,1.1,3713,3.5,106,0.1,69870,65.6,54391,2497,5.4,15657,59,91,85,75,14,7.3,21,39,20
01071,Alabama,Jackson,51582,21.1,50.9,1683,3.3,837,1.6,299,0.6,1606,3.1,67,0.1,45944,89.1,46606,1203,5.3,6097,50,27,52,38,13,6.9,22,40,20
01073,Alabama,Jefferson,655342,16.7,52.8,284178,43.4,1840,0.3,12005,1.8,26824,4.1,372,0.1,322562,49.2,57802,19675,6.2,124466,69,749,114,80,10,6.7,16,39,17
01075,Alabama,Lamar,13764,22.5,50.9,1401,10.2,48,0.3,15,0.1,275,2.0,2,0.0,11818,85.9,40204,278,4.9,1500,49,,,9,12,7.3,22,39,20
01077,Alabama,Lauderdale,93368,20.9,52.1,9192,9.8,420,0.4,853,0.9,2765,3.0,72,0.1,78714,84.3,52293,2321,5.5,12469,58,50,54,57,12,7.3,19,39,17
01079,Alabama,Lawrence,32857,19.3,51.2,3451,10.5,1905,5.8,87,0.3,805,2.5,7,0.0,25102,76.4,48924,703,4.9,4143,53,5,15,57,15,7.0,23,39,21
01081,Alabama,Lee,166831,12.9,50.9,37767,22.6,616,0.4,6955,4.2,6296,3.8,158,0.1,112727,67.6,58963,3935,5.2,31806,74,87,52,60,11,6.8,17,37,17
01083,Alabama,Limestone,102228,15.7,50.1,13883,13.6,854,0.8,1837,1.8,6338,6.2,187,0.2,77343,75.7,70850,1900,4.3,15779,61,38,37,43,12,7.5,19,35,17
01085,Alabama,Lowndes,9641,20.3,53.4,6958,72.2,34,0.4,45,0.5,195,2.0,4,0.0,2368,24.6,37499,488,13.3,948,42,1,10,1,12,4.7,24,49,28
01087,Alabama,Macon,17895,21.3,54.7,14184,79.3,50,0.3,93,0.5,385,2.2,3,0.0,2972,16.6,37736,773,9.6,1993,54,6,34,40,13,5.3,21,47,26
01089,Alabama,Madison,379453,15.6,51.1,92436,24.4,2954,0.8,10109,2.7,19911,5.2,397,0.1,244492,64.4,67810,8668,4.6,72447,75,330,87,74,10,7.4,16,35,15
01091,Alabama,Marengo,18733,20.6,53.1,9626,51.4,47,0.3,64,0.3,527,2.8,34,0.2,8301,44.3,43198,485,6.2,2089,51,7,37,48,11,6.0,21,44,23
01093,Alabama,Marion,29703,21.6,50.5,1135,3.8,135,0.5,102,0.3,763,2.6,22,0.1,27230,91.7,44333,661,5.1,3819,58,8,27,48,12,7.1,23,38,20
01095,Alabama,Marshall,96990,17.4,50.7,2484,2.6,1094,1.1,757,0.8,14517,15.0,345,0.4,77204,79.6,51417,1845,4.2,12458,54,56,58,53,15,6.7,21,40,19
01097,Alabama,Mobile,412716,17.1,52.5,149218,36.2,3801,0.9,8704,2.1,12367,3.0,185,0.0,232275,56.3,50871,15121,7.9,63704,59,292,71,64,12,6.6,20,39,20
01099,Alabama,Monroe,20459,21.7,52.6,8397,41.0,262,1.3,90,0.4,340,1.7,8,0.0,11035,53.9,38812,610,8.2,1611,35,8,39,41,13,6.0,23,44,24
01101,Alabama,Montgomery,224639,16.0,53.0,133669,59.5,717,0.3,7568,3.4,8340,3.7,217,0.1,71670,31.9,49607,8368,7.8,39851,65,235,105,69,12,6.5,17,49,20
01103,Alabama,Morgan,119883,18.3,50.9,15279,12.7,1332,1.1,821,0.7,10461,8.7,194,0.2,89824,74.9,55688,2634,4.5,15892,54,62,52,71,15,7.1,21,40,19
01105,Alabama,Perry,8687,20.9,53.6,5818,67.0,32,0.4,54,0.6,148,1.7,6,0.1,2565,29.5,33712,373,10.9,712,42,3,35,55,12,3.4,27,51,32
01107,Alabama,Pickens,19793,19.8,50.0,7855,39.7,56,0.3,71,0.4,1061,5.4,68,0.3,10555,53.3,41870,499,6.5,2504,50,7,35,4,13,6.9,23,42,24
01109,Alabama,Pike,32966,15.8,52.1,12452,37.8,228,0.7,621,1.9,806,2.4,31,0.1,18351,55.7,43141,772,4.9,4486,63,14,42,61,12,6.7,20,39,20
01111,Alabama,Randolph,22920,21.3,51.5,4318,18.8,113,0.5,109,0.5,680,3.0,24,0.1,17359,75.7,46679,447,4.7,2377,48,5,22,41,13,6.4,21,43,20
01113,Alabama,Russell,58237,15.1,52.3,26148,44.9,393,0.7,520,0.9,3443,5.9,170,0.3,26412,45.4,40821,1210,5.1,10367,65,12,21,56,12,6.7,22,42,22
01115,Alabama,St. Clair,90739,17.5,50.6,8843,9.7,383,0.4,861,0.9,2275,2.5,76,0.1,77080,84.9,61973,1986,4.9,13425,58,13,14,49,12,7.9,20,38,17
01117,Alabama,Shelby,221428,16.4,51.7,29940,13.5,899,0.4,5196,2.3,12933,5.8,118,0.1,169758,76.7,88444,4402,3.9,43715,78,181,82,74,9,8.3,14,33,13
01119,Alabama,Sumter,12225,19.8,54.3,8610,70.4,22,0.2,214,1.8,164,1.3,4,0.0,3106,25.4,32275,331,7.0,1350,58,7,57,33,12,5.9,23,48,27
01121,Alabama,Talladega,79985,18.9,51.8,26289,32.9,341,0.4,479,0.6,2004,2.5,17,0.0,49631,62.1,44802,2532,7.0,10598,54,23,29,50,12,6.7,22,42,22
01123,Alabama,Tallapoosa,40133,22.8,51.5,10701,26.7,181,0.5,251,0.6,1015,2.5,23,0.1,27531,68.6,46654,1239,6.9,4160,48,19,47,60,14,7.3,22,40,21
01125,Alabama,Tuscaloosa,210758,14.1,52.0,68533,32.5,727,0.3,3592,1.7,8482,4.0,151,0.1,127088,60.3,56610,6749,6.6,36110,65,153,73,75,10,7.2,18,42,18
01127,Alabama,Walker,63143,20.1,51.3,3798,6.0,352,0.6,346,0.5,1796,2.8,73,0.1,55962,88.6,46519,1446,5.8,8372,56,28,44,40,12,6.9,23,36,21
01129,Alabama,Washington,15976,20.5,51.2,3697,23.1,1245,7.8,128,0.8,262,1.6,20,0.1,10440,65.3,36346,539,8.0,1822,58,2,13,10,14,7.3,23,43,22
01131,Alabama,Wilcox,10206,21.0,53.0,7129,69.9,24,0.2,23,0.2,160,1.6,2,0.0,2756,27.0,31909,423,14.7,972,41,2,20,2,12,4.1,25,51,29
01133,Alabama,Winston,23508,22.6,50.9,208,0.9,201,0.9,85,0.4,787,3.3,47,0.2,21939,93.3,46453,475,4.7,2598,51,8,34,76,14,7.2,24,40,21
02000,Alaska,,731158,13.1,47.8,23621,3.2,113812,15.6,48557,6.6,53556,7.3,11642,1.6,436033,59.6,79961,27196,7.8,138592,65,713,98,76,13,6.8,18,32,12
02013,Alaska,Aleutians East,3401,11.0,32.6,301,8.9,659,19.4,1494,43.9,506,14.9,35,1.0,324,9.5,79128,100,4.0,513,51,,,11,21,7.3,18,29,15
02016,Alaska,Aleutians West,5680,7.8,33.7,368,6.5,687,12.1,2304,40.6,779,13.7,174,3.1,1293,22.8,92216,169,4.5,978,53,2,35,81,21,8.0,16,30,12
02020,Alaska,Anchorage,287095,12.2,49.1,15004,5.2,26200,9.1,28867,10.1,27380,9.5,9143,3.2,161820,56.4,84577,10971,7.4,64089,72,342,119,91,11,8.3,16,29,11
02050,Alaska,Bethel,18437,8.2,48.0,175,0.9,15489,84.0,211,1.1,393,2.1,41,0.2,1675,9.1,52214,805,11.6,1554,33,20,108,92,19,2.7,34,38,25
02060,Alaska,Bristol Bay,788,19.3,48.9,5,0.6,263,33.4,20,2.5,66,8.4,2,0.3,314,39.8,87032,31,7.4,134,69,0,0,6,18,7.4,18,36,12
02068,Alaska,Denali,2081,12.7,45.4,67,3.2,109,5.2,117,5.6,84,4.0,1,0.0,1624,78.0,80192,107,15.7,416,64,,,72,13,4.2,17,31,12
